fecha,texto,emocion
2024-12-27,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2022-10-10,Mi vecino me hizo sentir resentido al tomar decisiones.,enojo
2021-09-24,No soporto cuando me ignoraron en la reunión.,enojo
2024-01-16,Un peso en el pecho cuando escucho esa canción.,tristeza
2020-08-08,Tengo miedo de que fracase.,ansiedad
2022-08-15,Necesito un descanso pero no tengo tiempo.,estrés
2022-05-24,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-10-12,El jefe exigente me tiene al límite.,estrés
2022-10-20,Tengo miedo de que fracase.,ansiedad
2024-04-09,No soporto cuando me ignoraron en la reunión.,enojo
2021-09-20,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-02-20,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2021-06-05,Mi mente no deja de pensar en la situación económica.,ansiedad
2021-10-29,Tengo miedo de que fracase.,ansiedad
2020-05-12,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2020-06-19,Mi vecino me hizo sentir resentido al tomar decisiones.,enojo
2024-05-27,Tengo miedo de que me juzguen.,ansiedad
2020-11-13,Mi familiar me hizo sentir resentido al confrontar a alguien.,enojo
2020-02-05,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2021-02-11,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2024-11-09,El jefe exigente me tiene al límite.,estrés
2023-11-23,Tengo miedo de que fracase.,ansiedad
2024-05-11,El plazos ajustados me tiene al límite.,estrés
2022-05-18,El jefe exigente me tiene al límite.,estrés
2020-07-02,Una opresión en el pecho cuando escucho esa canción.,tristeza
2024-04-08,Hoy experimenté una conversación significativa y me siento agradecido...,felicidad
2020-07-15,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2023-05-31,Estoy resentido porque me criticaron sin razón...,enojo
2024-12-17,Necesito pedir ayuda pero me falta energía.,estrés
2020-09-07,Una opresión en el pecho cuando escucho esa canción.,tristeza
2022-03-17,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2023-09-20,Estoy frustrado porque no cumplieron su promesa.,enojo
2024-12-23,Me siento desanimado desde que perdí mi trabajo.,tristeza
2023-06-30,Estoy resentido porque me criticaron sin razón.,enojo
2023-10-21,Me siento vacío desde que terminó nuestra relación.,tristeza
2023-01-14,Hoy descubrí una conversación significativa y me siento optimista.,felicidad
2021-10-15,Qué optimista día para un tiempo con mi familia.,felicidad
2024-09-04,Necesito pedir ayuda pero no me escuchan.,estrés
2022-06-24,Estoy irritado porque me criticaron sin razón.,enojo
2020-11-15,Tengo miedo de que pierda el control.,ansiedad
2020-12-20,Me siento desolado desde que mudaron lejos.,tristeza
2023-07-22,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2024-04-22,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2020-02-15,No puedo confrontar a alguien sin sentir mareos.,ansiedad
2023-09-02,Mi pareja me hizo sentir exasperado al confrontar a alguien.,enojo
2020-04-06,Estoy exasperado porque me criticaron sin razón.,enojo
2022-06-28,Mi mente no deja de pensar en la situación económica.,ansiedad
2022-08-06,Necesito delegar tareas pero me falta energía.,estrés
2023-12-10,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2024-11-05,Necesito un descanso pero no tengo tiempo.,estrés
2021-01-02,Hoy disfruté un tiempo con mi familia y me siento eufórico.,felicidad
2021-05-28,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-02-27,No soporto cuando rompieron mis pertenencias.,enojo
2022-01-09,Un dolor sordo en el pecho cuando recuerdo lo sucedido.,tristeza
2024-10-04,Necesito organizarme mejor pero no me escuchan.,estrés
2020-09-22,No soporto cuando no cumplieron su promesa.,enojo
2021-08-12,No soporto cuando no cumplieron su promesa.,enojo
2022-10-02,Necesito un descanso pero no me escuchan.,estrés
2024-11-07,Mi mente no deja de pensar en el próximo examen!,ansiedad
2024-05-08,Estoy resentido porque me criticaron sin razón.,enojo
2020-04-16,Hoy compartí un momento de paz y me siento optimista.,felicidad
2022-04-08,No soporto cuando me ignoraron en la reunión.,enojo
2023-08-31,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2022-10-24,Un vacío en el pecho cuando recuerdo lo sucedido.,tristeza
2024-10-31,Qué optimista día para un momento de paz.,felicidad
2021-03-03,Me siento nostálgico desde que perdí mi trabajo.,tristeza
2021-02-22,Necesito organizarme mejor pero no tengo tiempo.,estrés
2022-08-11,No puedo tomar decisiones sin sentir temblores.,ansiedad
2022-10-06,Tengo miedo de que todo salga mal.,ansiedad
2022-12-16,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2024-11-20,Hoy experimenté un momento de paz y me siento agradecido.,felicidad
2023-05-14,Me siento desanimado desde que mudaron lejos.,tristeza
2024-04-05,Un desconocido me hizo sentir frustrado al hablar en público.,enojo
2024-07-16,Qué agradecido día para un logro personal.,felicidad
2022-06-22,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2022-04-12,Estoy indignado porque me ignoraron en la reunión.,enojo
2022-11-04,Necesito un descanso pero me falta energía.,estrés
2022-06-07,No soporto cuando me ignoraron en la reunión.,enojo
2023-10-26,Tengo miedo de que fracase.,ansiedad
2022-08-25,Hoy disfruté un logro personal y me siento pleno.,felicidad
2023-06-18,Una opresión en el pecho cuando escucho esa canción.,tristeza
2021-01-25,Un peso en el pecho cuando escucho esa canción.,tristeza
2022-10-09,Me siento vacío desde que terminó nuestra relación.,tristeza
2023-12-25,Qué agradecido día para un logro personal!,felicidad
2024-06-12,Estoy indignado porque no cumplieron su promesa.,enojo
2022-06-28,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2023-01-19,El plazos ajustados me tiene al límite.,estrés
2024-04-28,Qué agradecido día para una conversación significativa.,felicidad
2023-06-26,No puedo tomar decisiones sin sentir mareos.,ansiedad
2023-03-17,Una opresión en el pecho cuando escucho esa canción.,tristeza
2020-12-15,No puedo hablar en público sin sentir palpitaciones.,ansiedad
2020-11-29,Compartí una caminata al aire libre siempre me motiva.,felicidad
2023-09-02,No puedo hablar en público sin sentir temblores.,ansiedad
2024-01-19,Entre los estudios y el proyecto final no puedo dormir bien.,estrés
2023-09-14,Entre el cuidado de los niños y las deudas no puedo priorizar.,estrés
2022-09-16,Mi mente no deja de pensar en la situación económica!,ansiedad
2020-02-27,Disfruté una conversación significativa siempre me llena de energía.,felicidad
2024-11-07,Una opresión en el pecho cuando escucho esa canción.,tristeza
2021-10-26,Un dolor sordo en el pecho cuando pienso en el futuro.,tristeza
2020-05-04,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2023-12-27,Necesito pedir ayuda pero no tengo tiempo.,estrés
2021-09-02,No soporto cuando no cumplieron su promesa.,enojo
2024-11-22,Necesito pedir ayuda pero me falta energía.,estrés
2023-10-10,Necesito un descanso pero no me escuchan.,estrés
2024-04-26,Qué optimista día para una conversación significativa.,felicidad
2023-04-07,Me siento abatido desde que perdí mi trabajo.,tristeza
2022-03-22,Qué optimista día para un tiempo con mi familia.,felicidad
2023-01-29,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-03-03,Necesito un descanso pero me falta energía.,estrés
2020-11-27,Me siento vacío desde que terminó nuestra relación.,tristeza
2022-10-01,Un vacío en el pecho cuando escucho esa canción.,tristeza
2021-05-25,Entre el trabajo y el proyecto final no puedo relajarme.,estrés
2020-04-11,Entre el cuidado de los niños y los quehaceres domésticos no puedo relajarme.,estrés
2021-11-28,Experimenté un tiempo con mi familia siempre me llena de energía.,felicidad
2020-01-17,Estoy frustrado porque me ignoraron en la reunión.,enojo
2021-10-28,Entre los estudios y los quehaceres domésticos no puedo concentrarme.,estrés
2023-12-18,Entre el cuidado de los niños y las deudas no puedo relajarme.,estrés
2024-07-10,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2021-01-09,No puedo confrontar a alguien sin sentir palpitaciones...,ansiedad
2022-11-25,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-01-30,Mi mente no deja de pensar en la situación económica.,ansiedad
2023-11-26,Mi pareja me hizo sentir indignado al tomar decisiones.,enojo
2021-02-05,Necesito un descanso pero me falta energía.,estrés
2022-03-31,Me siento desanimado desde que terminó nuestra relación.,tristeza
2021-02-25,Mi vecino me hizo sentir irritado al tomar decisiones.,enojo
2022-03-12,Qué optimista día para un tiempo con mi familia.,felicidad
2023-02-22,El jefe exigente me tiene al límite.,estrés
2022-05-07,Mi familiar me hizo sentir irritado al confrontar a alguien.,enojo
2020-11-30,Necesito un descanso pero no me escuchan.,estrés
2021-03-04,Necesito pedir ayuda pero me falta energía.,estrés
2023-10-04,Entre el trabajo y las deudas no puedo priorizar.,estrés
2023-05-20,Mi pareja me hizo sentir irritado al confrontar a alguien.,enojo
2021-12-03,Estoy resentido porque me criticaron sin razón.,enojo
2022-03-05,El plazos ajustados me tiene al límite.,estrés
2021-11-16,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2022-10-09,Me siento desanimado desde que perdí mi trabajo.,tristeza
2023-06-13,No puedo tomar decisiones sin sentir temblores.,ansiedad
2024-03-02,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2022-05-23,Me siento desanimado desde que terminó nuestra relación.,tristeza
2021-06-15,No soporto cuando rompieron mis pertenencias.,enojo
2024-05-09,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2023-01-12,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2024-07-17,Estoy indignado porque me ignoraron en la reunión.,enojo
2021-10-17,Necesito pedir ayuda pero no tengo tiempo.,estrés
2020-02-19,El plazos ajustados me tiene al límite.,estrés
2024-04-17,Entre el cuidado de los niños y el proyecto final no puedo relajarme.,estrés
2023-07-02,Entre el trabajo y los quehaceres domésticos no puedo dormir bien.,estrés
2020-04-22,Qué agradecido día para un momento de paz.,felicidad
2022-10-23,Qué pleno día para un tiempo con mi familia.,felicidad
2022-01-30,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2023-04-23,No puedo confrontar a alguien sin sentir palpitaciones.,ansiedad
2023-05-01,El jefe exigente me tiene al límite...,estrés
2023-07-17,No soporto cuando me criticaron sin razón.,enojo
2022-03-08,Necesito delegar tareas pero me falta energía.,estrés
2022-07-25,Entre los estudios y las deudas no puedo priorizar.,estrés
2021-11-04,No soporto cuando no cumplieron su promesa.,enojo
2023-01-02,Estoy irritado porque me ignoraron en la reunión.,enojo
2022-07-21,Qué eufórico día para un logro personal.,felicidad
2023-02-28,No soporto cuando rompieron mis pertenencias.,enojo
2020-04-03,Estoy resentido porque me criticaron sin razón.,enojo
2020-02-14,No soporto cuando rompieron mis pertenencias.,enojo
2021-12-13,Mi mente no deja de pensar en el próximo examen.,ansiedad
2024-09-05,Un desconocido me hizo sentir indignado al hablar en público.,enojo
2020-03-28,Logré un momento de paz siempre me llena de energía.,felicidad
2022-10-13,Mi jefe me hizo sentir indignado al tomar decisiones.,enojo
2021-01-03,Me siento desolado desde que mudaron lejos.,tristeza
2022-08-07,Hoy descubrí una caminata al aire libre y me siento optimista.,felicidad
2021-12-08,Me siento abatido desde que terminó nuestra relación.,tristeza
2020-01-18,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2023-10-07,Necesito un descanso pero me falta energía.,estrés
2020-08-19,Qué eufórico día para un momento de paz.,felicidad
2020-01-23,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2024-01-01,Estoy exasperado porque no cumplieron su promesa.,enojo
2022-01-26,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2020-02-24,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-06-09,Qué eufórico día para una conversación significativa.,felicidad
2022-10-27,Tengo miedo de que fracase.,ansiedad
2021-02-28,Entre el trabajo y las deudas no puedo concentrarme.,estrés
2021-08-30,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2021-10-19,Mi pareja me hizo sentir exasperado al confrontar a alguien.,enojo
2021-12-10,Qué agradecido día para un logro personal.,felicidad
2021-10-10,Qué optimista día para un logro personal.,felicidad
2023-11-08,Tengo miedo de que todo salga mal.,ansiedad
2022-12-14,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2022-01-11,Tengo miedo de que me juzguen.,ansiedad
2021-10-22,Hoy disfruté un tiempo con mi familia y me siento agradecido.,felicidad
2022-03-30,Qué agradecido día para un momento de paz.,felicidad
2024-12-25,No puedo hablar en público sin sentir temblores.,ansiedad
2020-10-11,No puedo hablar en público sin sentir mareos.,ansiedad
2023-03-12,Mi pareja me hizo sentir indignado al confrontar a alguien.,enojo
2024-01-03,Hoy compartí una conversación significativa y me siento optimista.,felicidad
2022-11-11,Mi mente no deja de pensar en el próximo examen.,ansiedad
2023-04-04,Hoy logré una caminata al aire libre y me siento optimista.,felicidad
2023-09-29,Compartí un momento de paz siempre me inspira.,felicidad
2021-11-14,Mi familiar me hizo sentir exasperado al confrontar a alguien.,enojo
2020-12-19,Tengo miedo de que fracase.,ansiedad
2023-02-26,Descubrí un momento de paz siempre me llena de energía!,felicidad
2024-12-26,Compartí un logro personal siempre me da paz.,felicidad
2021-08-16,Necesito un descanso pero me falta energía.,estrés
2020-05-06,No puedo tomar decisiones sin sentir mareos.,ansiedad
2024-11-05,Entre los estudios y las deudas no puedo priorizar.,estrés
2024-12-30,No puedo hablar en público sin sentir palpitaciones.,ansiedad
2023-06-10,Qué entusiasmado día para una caminata al aire libre...,felicidad
2020-08-31,Necesito un descanso pero no tengo tiempo.,estrés
2024-05-21,No soporto cuando no cumplieron su promesa.,enojo
2024-08-16,Tengo miedo de que todo salga mal.,ansiedad
2021-08-23,Descubrí un momento de paz siempre me motiva.,felicidad
2023-01-08,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2020-12-09,Mi jefe me hizo sentir frustrado al hablar en público.,enojo
2023-05-16,Me siento abatido desde que perdí mi trabajo.,tristeza
2021-03-23,No soporto cuando me ignoraron en la reunión.,enojo
2020-04-09,Qué optimista día para una conversación significativa.,felicidad
2020-07-27,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2022-02-15,Necesito organizarme mejor pero me falta energía.,estrés
2023-08-24,Necesito pedir ayuda pero no me escuchan.,estrés
2023-11-11,El tráfico me tiene al límite.,estrés
2021-02-13,Qué agradecido día para un momento de paz.,felicidad
2024-05-19,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2021-10-30,El jefe exigente me tiene al límite.,estrés
2022-06-03,No soporto cuando me criticaron sin razón.,enojo
2024-09-21,No puedo dejar de pensar en rompieron mis pertenencias!,tristeza
2023-05-05,Entre los estudios y las deudas no puedo dormir bien.,estrés
2020-06-28,Un peso en el pecho cuando escucho esa canción.,tristeza
2023-12-27,Hoy logré un logro personal y me siento entusiasmado.,felicidad
2022-09-21,Tengo miedo de que fracase.,ansiedad
2024-02-16,Qué eufórico día para un tiempo con mi familia!,felicidad
2022-09-06,Hoy compartí un logro personal y me siento pleno.,felicidad
2022-05-03,Hoy disfruté una conversación significativa y me siento pleno.,felicidad
2021-08-27,Tengo miedo de que me juzguen.,ansiedad
2022-11-09,Compartí una conversación significativa siempre me llena de energía.,felicidad
2023-04-06,Estoy indignado porque no cumplieron su promesa.,enojo
2024-05-02,Mi mente no deja de pensar en la situación económica.,ansiedad
2020-03-26,Compartí un tiempo con mi familia siempre me motiva.,felicidad
2022-09-20,Compartí una conversación significativa siempre me llena de energía.,felicidad
2021-01-16,Tengo miedo de que pierda el control.,ansiedad
2023-07-29,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2023-01-12,No soporto cuando me criticaron sin razón.,enojo
2024-10-21,Qué agradecido día para un logro personal.,felicidad
2021-12-31,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2024-08-21,Me siento desanimado desde que terminó nuestra relación.,tristeza
2024-02-14,No soporto cuando me ignoraron en la reunión.,enojo
2021-05-21,Necesito delegar tareas pero me falta energía.,estrés
2022-06-09,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-09-15,Entre los estudios y los quehaceres domésticos no puedo dormir bien.,estrés
2020-01-29,Entre los estudios y el proyecto final no puedo concentrarme.,estrés
2022-01-03,No soporto cuando me ignoraron en la reunión.,enojo
2020-03-17,No puedo confrontar a alguien sin sentir palpitaciones.,ansiedad
2023-09-25,Necesito organizarme mejor pero me falta energía.,estrés
2020-01-16,Me siento abatido desde que terminó nuestra relación.,tristeza
2024-11-27,Qué agradecido día para un logro personal.,felicidad
2023-10-02,No soporto cuando me ignoraron en la reunión.,enojo
2022-07-11,Hoy compartí un tiempo con mi familia y me siento optimista.,felicidad
2024-06-26,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2022-12-03,No soporto cuando me ignoraron en la reunión.,enojo
2023-10-20,El plazos ajustados me tiene al límite.,estrés
2022-05-17,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2022-05-13,Me siento abatido desde que terminó nuestra relación.,tristeza
2021-08-30,No soporto cuando no cumplieron su promesa.,enojo
2023-07-09,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2023-03-27,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2020-12-18,Estoy indignado porque no cumplieron su promesa.,enojo
2020-09-01,Entre el cuidado de los niños y las deudas no puedo priorizar.,estrés
2020-10-22,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2023-05-17,Qué pleno día para una conversación significativa.,felicidad
2021-05-15,No puedo hablar en público sin sentir palpitaciones.,ansiedad
2024-09-24,Un vacío en el pecho cuando recuerdo lo sucedido.,tristeza
2023-08-24,El ruido constante me tiene al límite.,estrés
2021-03-14,Un peso en el pecho cuando pienso en el futuro.,tristeza
2022-04-17,Tengo miedo de que pierda el control.,ansiedad
2021-01-01,No puedo tomar decisiones sin sentir temblores!,ansiedad
2020-05-17,Mi mente no deja de pensar en la situación económica.,ansiedad
2022-07-11,Estoy indignado porque rompieron mis pertenencias.,enojo
2023-09-23,Qué agradecido día para un tiempo con mi familia.,felicidad
2022-05-27,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2021-05-20,Necesito delegar tareas pero no tengo tiempo.,estrés
2020-04-22,El jefe exigente me tiene al límite.,estrés
2022-10-02,Entre los estudios y los quehaceres domésticos no puedo concentrarme.,estrés
2024-05-15,El ruido constante me tiene al límite.,estrés
2024-01-05,Logré un logro personal siempre me da paz.,felicidad
2022-09-05,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2024-02-23,Tengo miedo de que todo salga mal.,ansiedad
2021-06-11,Experimenté un logro personal siempre me inspira.,felicidad
2023-01-04,Necesito un descanso pero no tengo tiempo.,estrés
2021-10-18,Qué pleno día para un tiempo con mi familia.,felicidad
2022-08-01,No soporto cuando rompieron mis pertenencias.,enojo
2023-06-24,Estoy exasperado porque me ignoraron en la reunión.,enojo
2020-11-09,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2020-11-16,Mi familiar me hizo sentir irritado al tomar decisiones.,enojo
2024-07-29,No soporto cuando me criticaron sin razón.,enojo
2020-03-03,Estoy frustrado porque me ignoraron en la reunión.,enojo
2022-08-16,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2024-10-21,Me siento abatido desde que terminó nuestra relación.,tristeza
2021-12-23,Mi familiar me hizo sentir irritado al tomar decisiones.,enojo
2021-02-21,Qué agradecido día para un momento de paz.,felicidad
2021-01-10,Necesito pedir ayuda pero no tengo tiempo.,estrés
2021-06-06,No soporto cuando me ignoraron en la reunión.,enojo
2021-06-10,Estoy exasperado porque me ignoraron en la reunión.,enojo
2021-09-06,Entre los estudios y los quehaceres domésticos no puedo dormir bien.,estrés
2021-07-17,Entre el trabajo y las deudas no puedo priorizar.,estrés
2022-07-24,Hoy compartí una caminata al aire libre y me siento agradecido.,felicidad
2020-04-30,Qué entusiasmado día para una caminata al aire libre...,felicidad
2023-05-01,Entre el cuidado de los niños y las deudas no puedo priorizar.,estrés
2021-07-09,Mi mente no deja de pensar en lo que dijeron de mí!,ansiedad
2020-07-13,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2024-04-15,Un dolor sordo en el pecho cuando pienso en el futuro.,tristeza
2022-09-18,Qué pleno día para un logro personal.,felicidad
2020-12-25,Disfruté un tiempo con mi familia siempre me da paz.,felicidad
2020-09-09,Estoy irritado porque me criticaron sin razón.,enojo
2023-01-28,No puedo confrontar a alguien sin sentir sudores fríos.,ansiedad
2022-10-27,Hoy logré un momento de paz y me siento agradecido.,felicidad
2024-09-11,No puedo hablar en público sin sentir mareos.,ansiedad
2024-10-19,Qué optimista día para un momento de paz.,felicidad
2024-09-13,No soporto cuando rompieron mis pertenencias.,enojo
2021-07-01,Una opresión en el pecho cuando recuerdo lo sucedido.,tristeza
2021-12-27,Estoy indignado porque no cumplieron su promesa.,enojo
2021-05-10,Hoy experimenté una conversación significativa y me siento entusiasmado.,felicidad
2024-02-21,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2020-10-20,No soporto cuando me ignoraron en la reunión.,enojo
2020-06-27,Estoy indignado porque no cumplieron su promesa.,enojo
2020-11-09,Una opresión en el pecho cuando recuerdo lo sucedido.,tristeza
2021-07-20,Necesito pedir ayuda pero no tengo tiempo.,estrés
2021-04-07,Hoy descubrí una conversación significativa y me siento eufórico.,felicidad
2023-10-17,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2021-07-30,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2021-10-15,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2020-10-18,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2022-08-02,Mi familiar me hizo sentir indignado al hablar en público.,enojo
2023-10-06,Mi jefe me hizo sentir exasperado al confrontar a alguien!,enojo
2023-12-18,Tengo miedo de que me juzguen.,ansiedad
2020-11-23,Descubrí una conversación significativa siempre me alegra.,felicidad
2021-07-22,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2021-06-16,Entre los estudios y el proyecto final no puedo priorizar.,estrés
2021-07-25,Me siento vacío desde que mudaron lejos.,tristeza
2023-11-29,Logré un momento de paz siempre me alegra.,felicidad
2021-03-16,Mi vecino me hizo sentir exasperado al tomar decisiones.,enojo
2020-01-12,No soporto cuando me ignoraron en la reunión.,enojo
2022-05-20,Hoy compartí un momento de paz y me siento pleno.,felicidad
2021-03-11,Qué eufórico día para una caminata al aire libre.,felicidad
2021-06-19,Hoy compartí una conversación significativa y me siento entusiasmado.,felicidad
2022-02-15,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2020-01-20,Qué agradecido día para una caminata al aire libre.,felicidad
2021-07-22,Hoy compartí una caminata al aire libre y me siento eufórico.,felicidad
2020-11-30,Mi vecino me hizo sentir indignado al tomar decisiones.,enojo
2021-08-17,Disfruté un tiempo con mi familia siempre me alegra.,felicidad
2023-01-08,Hoy disfruté una conversación significativa y me siento agradecido.,felicidad
2022-01-20,Necesito pedir ayuda pero me falta energía.,estrés
2024-07-30,Mi jefe me hizo sentir indignado al tomar decisiones!,enojo
2021-03-01,No puedo confrontar a alguien sin sentir palpitaciones...,ansiedad
2022-12-22,Tengo miedo de que pierda el control.,ansiedad
2020-05-17,Estoy exasperado porque me ignoraron en la reunión.,enojo
2021-02-08,Descubrí un logro personal siempre me da paz.,felicidad
2020-01-17,Necesito un descanso pero no me escuchan.,estrés
2024-06-22,No soporto cuando no cumplieron su promesa.,enojo
2022-01-14,El tráfico me tiene al límite.,estrés
2024-01-23,No puedo hablar en público sin sentir mareos.,ansiedad
2020-03-28,Hoy compartí una caminata al aire libre y me siento eufórico.,felicidad
2022-10-19,No soporto cuando me criticaron sin razón.,enojo
2024-11-22,Tengo miedo de que todo salga mal.,ansiedad
2022-03-28,No puedo tomar decisiones sin sentir mareos.,ansiedad
2020-10-05,Tengo miedo de que me juzguen.,ansiedad
2020-07-30,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2020-05-24,No soporto cuando rompieron mis pertenencias.,enojo
2024-08-04,Mi mente no deja de pensar en el próximo examen.,ansiedad
2024-09-14,Me siento abatido desde que terminó nuestra relación.,tristeza
2021-09-23,Me siento desolado desde que perdí mi trabajo.,tristeza
2024-06-10,Me siento abatido desde que perdí mi trabajo.,tristeza
2021-01-24,El jefe exigente me tiene al límite.,estrés
2020-02-15,No puedo hablar en público sin sentir palpitaciones.,ansiedad
2024-04-16,Hoy experimenté un tiempo con mi familia y me siento eufórico.,felicidad
2021-02-15,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-12-11,Estoy frustrado porque no cumplieron su promesa.,enojo
2024-08-26,Qué optimista día para una caminata al aire libre.,felicidad
2020-05-02,Un desconocido me hizo sentir exasperado al tomar decisiones.,enojo
2023-02-26,Una opresión en el pecho cuando recuerdo lo sucedido.,tristeza
2020-06-11,Mi pareja me hizo sentir irritado al tomar decisiones.,enojo
2023-11-29,El tráfico me tiene al límite.,estrés
2021-01-09,Estoy exasperado porque me ignoraron en la reunión.,enojo
2023-11-15,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2020-07-30,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-02-13,Experimenté un tiempo con mi familia siempre me motiva.,felicidad
2020-03-31,Experimenté una conversación significativa siempre me llena de energía.,felicidad
2024-07-09,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2021-03-20,Un vacío en el pecho cuando recuerdo lo sucedido.,tristeza
2023-04-17,Me siento desanimado desde que mudaron lejos.,tristeza
2021-10-06,Hoy descubrí un logro personal y me siento agradecido.,felicidad
2024-05-31,Disfruté una conversación significativa siempre me da paz.,felicidad
2021-03-28,No puedo tomar decisiones sin sentir mareos.,ansiedad
2024-05-28,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2024-05-16,El jefe exigente me tiene al límite.,estrés
2023-09-28,Qué eufórico día para un momento de paz.,felicidad
2024-10-06,Un vacío en el pecho cuando recuerdo lo sucedido.,tristeza
2023-08-25,Entre el cuidado de los niños y el proyecto final no puedo concentrarme.,estrés
2024-07-24,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-09-28,Qué agradecido día para una conversación significativa.,felicidad
2023-10-03,Hoy disfruté un logro personal y me siento optimista.,felicidad
2023-11-29,El ruido constante me tiene al límite.,estrés
2024-03-23,Hoy compartí una caminata al aire libre y me siento entusiasmado.,felicidad
2023-09-25,Tengo miedo de que pierda el control.,ansiedad
2024-10-10,No puedo hablar en público sin sentir mareos.,ansiedad
2024-09-18,Tengo miedo de que pierda el control.,ansiedad
2021-06-15,Hoy logré una conversación significativa y me siento entusiasmado.,felicidad
2024-03-20,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2024-08-16,Tengo miedo de que fracase.,ansiedad
2020-06-10,El ruido constante me tiene al límite.,estrés
2020-06-11,Hoy descubrí un momento de paz y me siento entusiasmado.,felicidad
2021-10-19,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2024-01-23,Entre los estudios y los quehaceres domésticos no puedo concentrarme.,estrés
2022-03-28,Hoy logré una conversación significativa y me siento entusiasmado.,felicidad
2023-07-27,El plazos ajustados me tiene al límite.,estrés
2022-03-26,Mi mente no deja de pensar en la situación económica.,ansiedad
2023-01-12,Estoy irritado porque me criticaron sin razón.,enojo
2022-01-17,Descubrí un tiempo con mi familia siempre me llena de energía.,felicidad
2023-09-16,Necesito pedir ayuda pero no tengo tiempo.,estrés
2020-10-28,Me siento abatido desde que terminó nuestra relación.,tristeza
2023-10-27,Tengo miedo de que todo salga mal.,ansiedad
2023-07-31,Hoy compartí un tiempo con mi familia y me siento pleno.,felicidad
2021-06-30,Hoy descubrí una conversación significativa y me siento agradecido.,felicidad
2024-03-15,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2023-08-15,Qué eufórico día para una conversación significativa.,felicidad
2024-08-16,Qué entusiasmado día para un tiempo con mi familia.,felicidad
